# Sniffer avviato: 2025-04-01 16:19:49
# Sniffer terminato: 2025-04-01 16:20:07
src_ip,src_port,dst_ip,dst_port
140.82.112.22,443,140.82.112.22,48078
140.82.112.22,443,140.82.112.22,48078
140.82.112.22,443,140.82.112.22,48078
140.82.112.22,443,140.82.112.22,48078
140.82.112.22,443,140.82.112.22,48078
140.82.112.22,443,140.82.112.22,48078
140.82.112.22,443,140.82.112.22,48078
140.82.112.22,443,140.82.112.22,48078
140.82.112.22,443,140.82.112.22,48078
140.82.112.22,443,140.82.112.22,48078
140.82.112.22,443,140.82.112.22,48078
140.82.112.22,443,140.82.112.22,48078
140.82.112.22,443,140.82.112.22,48078
140.82.112.22,443,140.82.112.22,48078
